Player,Position,TeamId,DateOfBirth,Height,Weight,College,YearsPlayed
Rivaldo Fairweather,TE,1,7/19/2002,75,249,Auburn; Florida International,0
Jalen Brooks,WR,1,5/7/2000,73,203,South Carolina; Tarleton State; Wingate,3
Marques Cox,OL,1,12/28/1999,77,305,Kentucky; Northern Illinois,0
Sincere McCormick,RB,1,9/10/2000,69,205,Texas-San Antonio,3
Trent Sherfield,WR,1,2/26/1996,73,206,Vanderbilt,8
Messiah Swinson,TE,1,4/20/2000,79,259,Arizona State; Missouri,1
Tyler Cooper,OL,1,4/20/2001,78,310,Minnesota,0
Xavier Thomas,LB,1,12/20/1999,74,250,Clemson,2
Joshua Karty,K,1,3/7/2002,74,208,Stanford,2
Trey Wedig,OL,1,1/10/2002,79,319,Indiana; Wisconsin,0
Wyatt Bowles,OL,1,1/28/2000,77,300,Utah State,0
Nick Muse,TE,1,11/25/1998,77,252,South Carolina,3
Chigozie Anusiem,DB,1,11/5/2000,73,200,Colorado State; California,2
Zachary Carter,DL,1,4/7/1999,76,301,Florida,4
Jeff Driskel,QB,1,4/23/1993,76,231,Louisiana Tech; Florida,9
Channing Tindall,LB,1,3/28/2000,74,236,Georgia,4
Roy Mbaeteka,OL,1,2/13/2000,80,330,,1
Pharaoh Brown,TE,1,5/4/1994,77,246,Oregon,8
Austin Keys,LB,1,4/3/2002,74,244,Auburn; Mississippi,0
Corey Kiner,RB,1,1/21/2002,69,210,Cincinnati; LSU,0
Eku Leota,LB,1,5/11/1999,76,257,Auburn,2
Patrick McMorris,DB,1,10/18/2001,72,206,California; San Diego State,2
Anthony Goodlow,DL,1,7/25/2000,77,283,Oklahoma State,1
Logan Woodside,QB,1,1/27/1995,73,210,Toledo,5
Steven Sims,WR,1,3/31/1997,70,176,Kansas,5
Elijah Simmons,DL,1,7/26/2001,73,334,Tennessee,0
Benton Whitley,LB,1,2/12/1999,76,260,Holy Cross,4
Jermar Jefferson,RB,1,4/15/2000,70,215,Oregon State,2
A.J. Terrell,DB,2,9/23/1998,73,200,Clemson,6
Billy Bowman Jr.,DB,2,1/13/2003,70,194,Oklahoma,0
C.J. Henderson,DB,2,9/30/1998,73,204,Florida,6
Clark Phillips III,DB,2,12/19/2001,69,185,Utah,3
Cobee Bryant,DB,2,9/17/2001,72,180,Kansas,0
DeMarcco Hellams,DB,2,6/5/2000,73,203,Alabama,3
Dee Alford,DB,2,11/5/1997,71,180,Tusculum College,4
Grayland Arnold,DB,2,9/4/1997,70,187,Baylor,4
Henry Black,DB,2,1/3/1997,72,204,Baylor,3
Jessie Bates,DB,2,2/26/1997,73,210,Wake Forest,8
Jordan Fuller,DB,2,3/4/1998,74,203,Ohio State,6
Josh Thompson,DB,2,10/20/1998,72,194,Texas,2
Mike Ford,DB,2,8/4/1995,72,199,Southeast Missouri State,8
Mike Hughes,DB,2,2/11/1997,70,191,UCF; Garden City CC; North Carolina,8
Natrone Brooks,DB,2,12/17/1999,71,176,Southern Mississippi,2
Ronnie Harrison,DB,2,4/18/1997,75,207,Alabama,8
Xavier Watts,DB,2,11/22/2001,72,203,Notre Dame,0
Brandon Dorlus,DL,2,3/22/2001,75,295,Oregon,2
David Onyemata,DL,2,11/13/1992,76,310,Manitoba (Canada),10
Kentavius Street,DL,2,5/8/1996,74,315,N.C. State,7
Khalid Kareem,DL,2,4/28/1998,76,255,Notre Dame,4
LaCale London,DL,2,8/5/1997,75,297,Western Illinois,2
Leonard Floyd,DL,2,9/8/1992,75,240,Georgia,10
Ruke Orhorhoro,DL,2,10/13/2001,76,294,Clemson,2
Sam Roberts,DL,2,4/14/1998,77,295,NW Missouri State University,3
