Player,Position,TeamId,DateOfBirth,Height,Weight,College,YearsPlayed
Dalton Kincaid,TE,4,10/18/1999,75,240,Utah; Univ of California-San Diego,3
Dawson Knox,TE,4,11/14/1996,76,254,Mississippi,7
Jackson Hawes,TE,4,12/6/2000,76,253,Georgia Tech; Yale,0
Keleki Latu,TE,4,8/13/2002,78,249,Washington; Nevada,0
Curtis Samuel,WR,4,8/11/1996,71,195,Ohio State,9
David White,WR,4,7/18/2000,76,200,Western Carolina; Valdosta State,0
Deon Cain,WR,4,8/9/1996,74,202,Clemson,3
Gabe Davis,WR,4,3/1/1999,74,225,UCF,6
Grant DuBose,WR,4,6/20/2001,74,201,Charlotte; Miles College,1
Josh Palmer,WR,4,9/22/1999,73,210,Tennessee,5
KJ Hamler,WR,4,7/8/1999,69,178,Penn State,4
Kaden Prather,WR,4,,,,,
Keon Coleman,WR,4,5/17/2003,76,215,Florida State; Michigan State,2
Khalil Shakir,WR,4,2/3/2000,72,190,Boise State,4
Laviska Shenault Jr.,WR,4,10/5/1998,73,224,Colorado,5
Stephen Gosnell,WR,4,10/22/2001,73,198,Virginia Tech; North Carolina,0
Tyrell Shavers,WR,4,8/18/1999,76,211,San Diego State; Mississippi State; Alabama,1
Mike White,QB,4,3/25/1995,77,216,Western Kentucky; University of South Florida,7
Tommy Akingbesote,DL,4,2/25/2003,76,316,Maryland,0
Matthew Wright,K,4,3/22/1996,71,174,UCF,4
Jalen Kimber,DB,4,2/13/2001,72,184,Penn State; Florida,0
Jacob Bayer,OL,4,12/12/2002,75,310,Arkansas State; Lamar,0
Kendrick Green,OL,4,12/22/1998,75,310,Illinois,5
Nick Broeker,OL,4,10/7/2000,76,305,Mississippi,3
Elijah Moore,WR,4,3/27/2000,70,180,Mississippi,5
Mecole Hardman,WR,4,3/12/1998,70,187,Georgia,7
Ja'Marcus Ingram,DB,4,9/2/1997,74,190,Buffalo; Texas Tech,2
Marcus Harris,DL,4,9/27/2000,75,295,Auburn; Kansas,1
Maddux Trujillo,K,4,,,,,
Mike Badgley,K,4,7/28/1995,70,188,Miami,7
Darrick Forrest,DB,4,5/22/1999,71,200,Cincinnati,5
Darnell Savage,DB,4,7/30/1997,71,198,Maryland,7
Shane Buechele,QB,4,1/8/1998,72,210,SMU,4
Brad Robbins,P,4,10/6/1998,73,203,Michigan,2
Jimmy Ciarlo,LB,4,2/28/2001,74,225,Army,2
Matthew Judon,LB,4,8/15/1992,75,265,Grand Valley,10
Otis Reese,LB,4,7/2/1998,75,214,Mississippi,3
Brandin Cooks,WR,4,9/25/1993,70,190,Oregon State,12
Casey Rogers,DL,4,12/18/1998,77,305,Oregon; Nebraska,1
Zach Davidson,TE,4,7/15/1998,79,251,Central Missouri,2
Cameron Johnston,P,4,2/24/1992,71,194,Ohio State,8
Kingsley Jonathan,DL,4,4/28/1998,76,260,Syracuse,3
Daequan Hardy,DB,4,6/13/2001,69,178,Penn State,1
Darius Slay,DB,4,1/1/1991,72,192,Mississippi State; Itawamba JC,13
Daryl Porter,DB,4,2/3/2002,70,185,Miami; West Virginia,0
Matt Sokol,TE,4,11/9/1995,77,258,Michigan State,1
Dan Feeney,OL,4,5/29/1994,76,310,Indiana,9
Kristian Wilkerson,WR,4,1/10/1997,73,214,Southeast Missouri State,3
Mitch Wishnowsky,P,4,3/2/1992,74,220,Utah; Santa Barbara,7
Akayleb Evans,DB,5,6/22/1999,74,198,Missouri,4
Chau Smith-Wade,DB,5,9/17/2002,71,176,Washington State,2
Corey Thornton,DB,5,1/30/2001,73,195,Louisville,0
Damarri Mathis,DB,5,4/12/1999,71,195,Pittsburgh,4
Demani Richardson,DB,5,10/7/2000,73,215,Texas A&M,2
Isaac Gifford,DB,5,,,,,
JaTravis Broughton,DB,5,,,,,
Jaycee Horn,DB,5,11/26/1999,73,200,South Carolina,5
Keion Crossen,DB,5,4/17/1996,70,190,Western Carolina,7
Lathan Ransom,DB,5,7/16/2002,72,206,Ohio State,0
Mello Dotson,DB,5,,,,,
Mike Jackson,DB,5,1/10/1997,73,210,Miami,5
Nick Scott,DB,5,5/17/1995,71,200,Penn State,7
Tre Swilling,DB,5,3/26/1999,73,196,Georgia Tech,1
Tre'von Moehrig,DB,5,6/16/1999,74,202,TCU,5
A'Shawn Robinson,DL,5,3/21/1995,75,320,Alabama,10
Bobby Brown III,DL,5,8/7/2000,76,332,Texas A&M,5
Cam Jackson,DL,5,8/7/2002,78,328,Florida; Memphis,0
Derrick Brown,DL,5,4/15/1998,77,320,Auburn,6
Jaden Crumedy,DL,5,7/30/2000,76,309,Mississippi State,2
Jared Harrison-Hunte,DL,5,7/22/2000,76,294,SMU; Miami,0
LaBryan Ray,DL,5,12/5/1997,76,290,Alabama,3
Mapalo Mwansa,DL,5,4/2/2004,74,230,,0
Popo Aumavae,DL,5,1/15/1999,75,315,Oregon,2
Tershawn Wharton,DL,5,6/25/1998,73,280,Missouri-Rolla,6
Ryan Fitzgerald,K,5,8/13/2000,71,193,Florida State,0
Bam Martin-Scott,LB,5,7/4/2000,74,231,South Carolina; Dodge City CC,0
Christian Rozeboom,LB,5,1/30/1997,74,230,South Dakota State,5
Claudin Cherelus,LB,5,2/9/1999,74,230,Alcorn State; UMass Amherst,3
D.J. Wonnum,LB,5,10/31/1997,77,258,South Carolina,6
J.J. Weaver,LB,5,,,,,
Krys Barnes,LB,5,4/2/1998,74,229,UCLA,6
Nic Scourton,LB,5,8/25/2004,74,257,Texas A&M; Purdue,0
Patrick Jones II,LB,5,9/29/1998,76,264,Pittsburgh,5
Princely Umanmielen,LB,5,4/18/2002,76,244,Mississippi; Florida,0
Thomas Incoom,LB,5,2/1/1999,74,265,Central Michigan; Valdosta State,3
Trevin Wallace,LB,5,2/22/2003,73,244,Kentucky,2
J.J. Jansen,LS,5,1/20/1986,74,235,Notre Dame,18
Austin Corbett,OL,5,9/5/1995,76,306,Nevada,8
Brady Christensen,OL,5,9/27/1996,78,300,BYU,5
Brandon Walton,OL,5,3/18/1998,77,300,Florida Atlantic,3
Cade Mays,OL,5,4/26/1999,78,325,Tennessee,4
Chandler Zavala,OL,5,4/2/1999,75,322,N.C. State; Fairmont State,3
Damien Lewis,OL,5,3/21/1997,74,327,LSU; Northwest Mississippi CC,6
Ikem Ekwonu,OL,5,10/31/2000,76,320,N.C. State,4
Ja'Tyre Carter,OL,5,1/15/1999,75,311,Southern,3
Luke Kandra,OL,5,,,,,
Michael Tarquin,OL,5,6/14/2001,78,313,Oklahoma; USC; Florida,0
Robert Hunt,OL,5,8/25/1996,78,323,Louisiana-Lafayette,6
Steven Losoya,OL,5,,,,,
Taylor Moton,OL,5,8/14/1994,77,325,Western Michigan,9
Yosh Nijman,OL,5,1/2/1996,79,314,Virginia Tech,6
Sam Martin,P,5,2/27/1990,73,205,Appalachian State,13
Andy Dalton,QB,5,10/29/1987,74,220,TCU,15
Bryce Perkins,QB,5,12/20/1996,75,215,Virginia,2
Bryce Young,QB,5,7/25/2001,70,204,Alabama,3
Jack Plummer,QB,5,10/21/1999,77,215,Louisville; California; Purdue,0
Chuba Hubbard,RB,5,6/11/1999,73,210,Oklahoma State,5
Emani Bailey,RB,5,11/28/2001,67,202,TCU; Louisiana,0
Jonathon Brooks,RB,5,7/21/2003,72,207,Texas,2
Kayron Lynch-Adams,RB,5,,,,,
Rico Dowdle,RB,5,6/14/1998,72,215,South Carolina,6
Trevor Etienne,RB,5,7/9/2004,68,198,Georgia; Florida,0
Bryce Pierre,TE,5,1/25/2001,77,255,UCLA; Arizona State,0
Dominique Dafney,TE,5,6/3/1997,74,243,Indiana State,2
Ja'Tavion Sanders,TE,5,3/27/2003,76,252,Texas,2
James Mitchell,TE,5,8/11/1999,76,249,Virginia Tech,3
Mitchell Evans,TE,5,3/18/2003,77,258,Notre Dame,0
Tommy Tremble,TE,5,6/2/2000,76,250,Notre Dame,5
Tyler Mabry,TE,5,11/21/1996,75,260,Maryland,2
Ainias Smith,WR,5,5/31/2001,69,176,Texas A&M,2
Brycen Tremayne,WR,5,11/18/1999,76,212,Stanford,1
Dan Chisena,WR,5,2/25/1997,75,202,Penn State,5
David Moore,WR,5,1/15/1995,72,219,East Central,7
Hunter Renfrow,WR,5,12/21/1995,70,185,Clemson,6
Ja'Seem Reed,WR,5,3/21/2003,74,195,San Diego,0
Jacolby George,WR,5,,,,,
Jalen Coker,WR,5,10/30/2001,75,213,Holy Cross,2
Jimmy Horn Jr.,WR,5,9/12/2002,68,174,Colorado; University of South Florida,0
Kobe Hudson,WR,5,,,,,
T.J. Luther,WR,5,5/13/2000,71,195,Gardner-Webb; Wofford,1
Tetairoa McMillan,WR,5,4/5/2003,77,212,Arizona,0
Xavier Legette,WR,5,1/29/2001,75,227,South Carolina,2
Maema Njongmeta,LB,5,3/9/2001,72,232,Wisconsin,2
Darrian Dalcourt,OL,5,9/17/2000,75,320,Alabama,1
Israel Mukuamu,DB,5,11/28/1999,76,215,South Carolina,5
Robert Rochell,DB,5,4/26/1998,72,193,Central Arkansas,5
Saahdiq Charles,OL,5,7/26/1999,76,321,LSU,5
Ross Dwelley,TE,5,1/26/1995,77,235,San Diego,8
Isaiah Simmons,LB,5,7/26/1998,76,238,Clemson,6
Shemar Bartholomew,DB,5,6/6/2000,73,200,Georgia Southern; Northwestern State (LA),2
Jarrett Kingston,OL,5,12/2/1999,76,308,USC; Washington State,2
David Long,DB,5,2/6/1998,71,196,Michigan,7
Trevian Thomas,DB,5,3/4/2002,71,196,Arkansas State,0
DeeJay Dallas,RB,5,9/16/1998,70,214,Miami,6
Jamil Muhammad,LB,5,2/1/2001,73,260,USC; Georgia State; Vanderbilt,0
Dalevon Campbell,WR,5,12/5/2001,76,220,South Carolina,0
Carlos Basham,LB,5,12/16/1997,75,274,Wake Forest,5
Hendon Hooker,QB,5,1/13/1998,75,221,Tennessee; Virginia Tech,3
Raheem Blackshear,RB,5,6/5/1998,69,190,Virginia Tech,4
Jacoby Windmon,LB,5,8/20/2001,74,250,Michigan State; UNLV,2
Jeremiah Moon,LB,5,8/18/1998,77,245,Florida,3
Aiden Williams,OL,5,8/31/2000,78,305,Duluth/University of Minnesota,0
D'Anthony Bell,DB,5,10/17/1996,73,211,University of West Florida,4
Michael Reid,DB,5,5/24/2002,74,200,South Dakota; Monmouth,0
Anthony Tyus III,RB,5,3/20/2003,73,226,Ohio,0
Trevis Gipson,DL,5,6/13/1997,76,263,Tulsa,6
DJ Johnson,LB,5,10/29/1998,76,260,Oregon; Miami,3
Alex Cook,DB,6,5/21/1999,73,196,Washington,2
Dominique Hampton,DB,6,7/25/2000,75,220,Washington,2
Dontae Manning,DB,6,9/17/2001,70,190,Oregon,0
Elijah Hicks,DB,6,10/16/1999,71,204,California,4
Gervarrius Owens,DB,6,10/14/1999,72,200,Houston; Northeast Oklahoma,2
Jaquan Brisker,DB,6,4/20/1999,73,204,Penn State; Lackawanna JC,4
Jaylon Johnson,DB,6,4/19/1999,72,195,Utah,6
Jaylon Jones,DB,6,10/14/1997,71,190,Mississippi,4
Jeremiah Walker,DB,6,,,,,
Jonathan Owens,DB,6,7/22/1995,71,204,Missouri Western,7
Josh Blackwell,DB,6,4/5/1999,71,180,Duke,4
Kaleb Hayes,DB,6,3/19/1999,72,195,BYU; Oregon State,0
Kevin Byard,DB,6,8/17/1993,71,218,Middle Tennessee State,10
Kyler Gordon,DB,6,12/17/1999,71,200,Washington,4
Mekhi Garner,DB,6,1/11/2000,74,212,LSU; Navarro,1
Millard Bradford,DB,6,9/24/1999,70,191,TCU,0
Nahshon Wright,DB,6,9/23/1998,76,199,Oregon State,5
Nick McCloud,DB,6,7/9/1998,73,190,Notre Dame,5
Shaun Wade,DB,6,9/16/1998,73,195,Ohio State,4
Terell Smith,DB,6,7/27/1999,72,204,Minnesota,3
Tyrique Stevenson,DB,6,5/26/2000,72,212,Miami; Georgia,3
Zah Frazier,DB,6,10/5/2000,75,185,Texas-San Antonio; Coffeyville CC,0
Andrew Billings,DL,6,6/3/1995,73,340,Baylor,9
Austin Booker,DL,6,12/14/2002,78,245,Kansas; Minnesota,2
Chris Williams,DL,6,6/16/1998,74,298,Wagner,4
Daniel Hardy,DL,6,12/15/1998,74,255,Montana State,3
Dayo Odeyingbo,DL,6,9/24/1999,77,282,Vanderbilt,5
Dominique Robinson,DL,6,7/2/1998,77,275,Miami (Ohio),4
Gervon Dexter Sr.,DL,6,10/5/2000,78,326,Florida,3
Grady Jarrett,DL,6,4/28/1993,73,294,Clemson,11
Jamree Kromah,DL,6,6/14/2000,75,268,James Madison; Rutgers,1
Montez Sweat,DL,6,9/4/1996,78,270,Mississippi State; Copiah-Lincoln Junior College; Michigan State,7
Shemar Turner,DL,6,1/14/2003,75,293,Texas A&M,0
Cairo Santos,K,6,11/12/1991,68,173,Tulane,12
Amen Ogbongbemiga,LB,6,9/4/1998,73,226,Oklahoma State,5
D'Marco Jackson,LB,6,7/20/1998,73,233,Appalachian State,4
Jalen Reeves-Maybin,LB,6,1/31/1995,73,226,Tennessee,9
Noah Sewell,LB,6,4/26/2002,73,246,Oregon,3
Ruben Hyppolite II,LB,6,9/16/2001,72,236,Maryland,0
T.J. Edwards,LB,6,8/12/1996,72,228,Wisconsin,7
Tremaine Edmunds,LB,6,5/2/1998,76,251,Virginia Tech,8
Xavier Carlton,LB,6,8/22/2001,78,273,California; Utah,0
Scott Daly,LS,6,2/7/1994,73,245,Notre Dame,5
Braxton Jones,OL,6,3/27/1999,77,303,Southern Utah State,4
Chris Glaser,OL,6,10/1/1999,76,306,Virginia,2
Darnell Wright,OL,6,8/10/2001,77,325,Tennessee,3
Drew Dalman,OL,6,10/15/1998,75,300,Stanford,5
Joe Thuney,OL,6,11/18/1992,77,301,N.C. State,10
Jonah Jackson,OL,6,2/5/1997,75,319,Ohio State; Rutgers,6
Jordan McFadden,OL,6,11/16/1999,74,306,Clemson,3
Kiran Amegadjie,OL,6,2/1/2002,77,326,Yale,2
Luke Newman,OL,6,3/3/2002,76,308,Michigan State; Holy Cross,0
Ozzy Trapilo,OL,6,10/17/2001,80,312,Boston College,0
Ricky Stromberg,OL,6,11/10/2000,76,313,Arkansas,2
Ryan Bates,OL,6,2/14/1997,76,306,Penn State,7
Theo Benedet,OL,6,12/10/2001,79,305,University of British Columbia,1
Tory Taylor,P,6,7/10/1997,76,223,Iowa,2
Austin Reed,QB,6,2/22/2000,73,220,Western Kentucky; University of West Florida; Southern Illinois,0
Caleb Williams,QB,6,11/18/2001,73,226,USC; Oklahoma,2
Case Keenum,QB,6,2/17/1988,73,220,Houston,13
Tyson Bagent,QB,6,6/8/2000,75,213,Shepherd,3
Brittain Brown,RB,6,10/10/1997,73,205,UCLA,3
D'Andre Swift,RB,6,1/14/1999,68,204,Georgia,6
Deion Hankins,RB,6,9/13/2000,71,226,Texas State-San Marcos,0
Kyle Monangai,RB,6,6/6/2002,68,207,Rutgers,0
Roschon Johnson,RB,6,1/31/2001,72,227,Texas,3
Travis Homer,RB,6,8/7/1998,70,211,Miami,7
Cole Kmet,TE,6,3/10/1999,78,257,Notre Dame,6
Colston Loveland,TE,6,4/9/2004,78,241,Michigan,0
Durham Smythe,TE,6,8/9/1995,76,248,Notre Dame,8
Nikola Kalinic,TE,6,1/21/1997,76,248,York (Canada),2
Stephen Carlson,TE,6,12/12/1996,76,248,Princeton,4
Thomas Gordon,TE,6,,77,255,Northwestern,1
DJ Moore,WR,6,4/14/1997,72,213,Maryland,8
Devin Duvernay,WR,6,9/12/1997,71,202,Texas,6
JP Richardson,WR,6,3/23/2002,71,192,TCU; Oklahoma State,0
Jahdae Walker,WR,6,7/5/2002,75,206,Texas A&M; Grand Valley,0
Luther Burden III,WR,6,12/12/2003,72,210,Missouri,0
Maurice Alexander,WR,6,1/10/1997,70,171,Florida International,1
Miles Boykin,WR,6,10/12/1996,75,231,Notre Dame,6
Olamide Zaccheaus,WR,6,7/23/1997,68,199,Virginia,7
Rome Odunze,WR,6,6/3/2002,75,215,Washington,2
Joe Tryon-Shoyinka,DL,6,4/30/1999,77,259,Washington,5
Joshua Miles,OL,6,1/4/1996,77,325,Morgan State,5
Samori Toure,WR,6,3/24/1998,73,196,Nebraska,3
Ty Summers,LB,6,12/31/1995,73,241,TCU,7
Tre Flowers,DB,6,6/2/1995,75,203,Oklahoma State,8
Mark Perry,DB,6,5/30/2001,72,215,TCU,1
Jonathan Ford,DL,6,9/29/1998,77,346,Miami,3
Trey Hill,OL,6,1/23/2000,76,335,Georgia,4
Power Echols,LB,6,1/20/2003,72,225,North Carolina,0
Tanoh Kpassagnon,DL,6,6/14/1994,79,289,Villanova,8
Bill Murray,OL,6,7/3/1997,75,321,William & Mary,2
Qadir Ismail,TE,6,2/17/2000,78,232,Samford; Villanova,1
Royce Freeman,RB,6,2/24/1996,72,238,Oregon,6
Luke Elkin,LS,6,6/27/2002,73,200,Iowa,0
Jeremiah Martin,DL,6,6/10/2000,76,265,Washington; Texas A&M,1
Nephi Sewell,LB,6,12/19/1998,72,228,Utah,3
Kyle Hergel,OL,6,10/7/1999,74,315,Boston College; Texas State-San Marcos,2
Ian Wheeler,RB,6,9/15/2001,71,205,Howard,2
Doug Kramer,OL,6,6/4/1998,74,300,Illinois,4
Dallis Flowers,DB,6,6/4/1997,73,196,Pittsburg State (KS),4
Jonathan Garvin,LB,6,7/28/1999,76,257,Miami,4
Jake Moody,K,6,11/23/1999,73,210,Michigan,3
Joel Wilson,TE,6,6/21/2000,76,245,Central Michigan,1
Bralyn Lux,DB,7,8/28/2000,70,180,Texas Tech,0
Cam Taylor-Britt,DB,7,10/15/1999,71,200,Nebraska,4
D.J. Ivey,DB,7,2/25/2000,73,192,Miami,3
DJ Turner II,DB,7,11/9/2000,71,185,Michigan,3
Daijahn Anthony,DB,7,9/9/2000,72,200,Mississippi; Liberty,2
Daxton Hill,DB,7,9/29/2000,72,195,Michigan,4
Geno Stone,DB,7,4/19/1999,71,209,Iowa,6
Jalen Davis,DB,7,2/2/1996,70,186,Utah State,5
Jaylen Key,DB,7,2/29/2000,74,210,Alabama; UAB,0
Jordan Battle,DB,7,12/14/2000,73,215,Alabama,3
Josh Newton,DB,7,9/14/2000,71,190,TCU; Louisiana-Monroe,2
Lance Robinson,DB,7,3/20/2000,70,185,Tulane; Kansas State,0
Marco Wilson,DB,7,3/3/1999,71,191,Florida,5
Nate Brooks,DB,7,9/5/1996,72,192,North Texas,1
PJ Jules,DB,7,5/14/2001,72,203,Southern Illinois,1
Russ Yeast,DB,7,5/8/1999,70,195,Kansas State,3
Shaquan Loyal,DB,7,,,,,
Tycen Anderson,DB,7,6/13/1999,74,205,Toledo,4
B.J. Hill,DL,7,4/20/1995,75,311,N.C. State,8
Cameron Sample,DL,7,9/20/1999,75,272,Tulane,5
Cedric Johnson,DL,7,9/6/2002,75,264,Mississippi,2
Howard Cross III,DL,7,7/31/2001,73,285,Notre Dame,0
Joseph Ossai,DL,7,4/13/2000,76,263,Texas,5
Kris Jenkins,DL,7,10/10/2001,75,310,Michigan,2
McKinnley Jackson,DL,7,12/26/2001,74,330,Texas A&M,2
McTelvin Agim,DL,7,9/25/1997,75,300,Arkansas,3
Myles Murphy,DL,7,1/3/2002,77,275,Clemson,3
Raymond Johnson III,DL,7,12/2/1997,75,264,Georgia Southern,2
Shemar Stewart,DL,7,11/12/2003,77,267,Texas A&M,0
Tedarrell Slaton,DL,7,10/3/1997,77,340,Florida,5
Trey Hendrickson,DL,7,12/5/1994,76,265,Florida Atlantic,9
Evan McPherson,K,7,7/21/1999,71,185,Florida,5
Barrett Carter,LB,7,10/23/2002,72,230,Clemson,0
Craig Young,LB,7,3/13/2001,75,225,Kansas; Ohio State,0
Demetrius Knight Jr.,LB,7,7/21/2000,74,240,South Carolina; Charlotte,0
Isaiah Thomas,LB,7,12/3/1998,77,272,Oklahoma,3
Joe Giles-Harris,LB,7,4/1/1997,74,234,Duke,2
Liam Anderson,LB,7,4/30/2000,75,226,Holy Cross,1
Oren Burks,LB,7,3/21/1995,75,233,Vanderbilt,8
Shaka Heyward,LB,7,4/19/2000,75,238,Duke,2
William Wagner,LS,7,12/20/2000,74,240,Michigan,0
Amarius Mims,OL,7,10/14/2002,80,350,Georgia,2
Andrew Coker,OL,7,3/23/2001,79,315,TCU,1
Andrew Raym,OL,7,5/2/2001,76,327,Oklahoma,0
Cody Ford,OL,7,12/28/1996,75,345,Oklahoma,7
Cordell Volson,OL,7,7/20/1998,78,315,North Dakota State,4
Dalton Risner,OL,7,7/13/1995,77,312,Kansas State,7
Dylan Fairchild,OL,7,5/8/2003,77,318,Georgia,0
Jalen Rivers,OL,7,9/12/2002,77,319,Miami,0
Javon Foster,OL,7,3/31/2000,77,313,Missouri,2
Jaxson Kirkland,OL,7,7/30/1998,79,325,Washington,2
Lucas Patrick,OL,7,7/30/1993,75,313,Duke,9
Matt Lee,OL,7,6/6/2001,76,310,Miami; UCF,2
Orlando Brown,OL,7,5/2/1996,80,350,Oklahoma,8
Seth McLaughlin,OL,7,8/27/2001,76,305,Ohio State; Alabama,0
Ted Karras,OL,7,3/15/1993,76,310,Illinois,10
Ryan Rehkow,P,7,9/11/1998,77,235,BYU,2
Jake Browning,QB,7,4/11/1996,74,210,Washington,3
Joe Burrow,QB,7,12/10/1996,76,215,LSU; Ohio State,6
Payton Thorne,QB,7,,,,,
Chase Brown,RB,7,3/21/2000,70,211,Illinois; Western Michigan,3
Gary Brightwell,RB,7,2/28/1998,73,218,Arizona,4
Kendall Milton,RB,7,2/10/2002,73,230,Georgia,1
Quali Conley,RB,7,,,,,
Samaje Perine,RB,7,9/16/1995,70,240,Oklahoma,9
Tahj Brooks,RB,7,5/13/2002,69,220,Texas Tech,0
Cam Grandy,TE,7,11/19/1999,77,253,Illinois State; Missouri Western,2
Drew Sample,TE,7,4/16/1996,77,260,Washington,7
Erick All,TE,7,9/13/2000,77,255,Iowa; Michigan,2
Mike Gesicki,TE,7,10/3/1995,78,245,Penn State,8
Noah Fant,TE,7,11/20/1997,76,249,Iowa,7
Tanner Hudson,TE,7,11/12/1994,77,241,Southern Arkansas; Memphis,6
Andrei Iosivas,WR,7,10/15/1999,75,210,Princeton,3
Charlie Jones,WR,7,10/29/1998,72,190,Purdue; Iowa,3
Cole Burgess,WR,7,2/11/2000,73,192,Cortland State Of New York,0
Ja'Marr Chase,WR,7,3/1/2000,72,205,LSU,5
Jamoi Mayes,WR,7,,,,,
Jermaine Burton,WR,7,6/28/2001,72,204,Alabama; Georgia,2
Jordan Moore,WR,7,4/18/2002,72,191,Duke,0
Kendric Pryor,WR,7,1/6/1998,71,189,Wisconsin,2
Mitchell Tinsley,WR,7,9/15/1999,73,205,Penn State; Western Kentucky,2
Rashod Owens,WR,7,,,,,
Tee Higgins,WR,7,1/18/1999,76,219,Clemson,6
Joe Flacco,QB,7,1/16/1985,78,245,Delaware; Pittsburgh,18
Logan Wilson,LB,7,7/8/1996,74,245,Wyoming,6
Devin Cochran,OL,7,7/17/1998,79,330,Georgia Tech,3
Sean Clifford,QB,7,7/14/1998,74,217,Penn State,2
Desmond Ridder,QB,7,8/31/1999,75,207,Cincinnati,4
Xavier Johnson,WR,7,5/11/1999,73,210,Ohio State,1
Brett Rypien,QB,7,7/9/1996,74,210,Boise State,7
Myles Cole,DL,7,4/29/2000,78,278,Texas Tech; Louisiana-Monroe,2
Mike Pennel,DL,7,5/9/1991,76,330,Colorado State (Pueblo); Arizona State; Scottsdale CC,11
Tanner McLachlan,TE,7,3/15/1999,77,245,Arizona,2
Brian Asamoah II,LB,7,3/29/2000,72,226,Oklahoma,4
Caleb Etienne,OL,7,8/29/2001,80,320,BYU; Oklahoma State; Butler University,0
Isaiah Foskey,DL,7,10/30/2000,77,270,Notre Dame,3
Isaiah Williams,WR,7,1/29/2001,70,185,Illinois,2
Antwaun Powell-Ryland,LB,7,2/23/2002,75,258,Virginia Tech; Florida,0
Cal Adomitis,LS,7,7/9/1998,74,238,Pittsburgh,4
Ke'Shawn Williams,WR,7,12/27/2001,69,186,Indiana; Wake Forest,0
Jordan Jefferson,DL,7,9/24/2001,74,316,LSU,2
Anthony Kendall,DB,8,12/17/1999,70,188,Baldwin Wallace College,2
Chris Edmonds,DB,8,7/16/2001,74,210,Arizona State; Samford,1
Christian Holmes,DB,8,11/14/1997,73,205,Oklahoma State,2
Denzel Ward,DB,8,4/28/1997,71,190,Ohio State,8
Dom Jones,DB,8,7/16/2000,74,192,Colorado State; North Dakota State,0
Donovan McMillon,DB,8,6/18/2002,74,203,Pittsburgh; Florida,0
Grant Delpit,DB,8,9/20/1998,75,208,LSU,6
Keenan Isaac,DB,8,2/17/2000,75,190,Alabama State,1
Martin Emerson,DB,8,9/27/2000,74,200,Mississippi State,4
Myles Harden,DB,8,12/13/2001,71,195,South Dakota,2
Rayshawn Jenkins,DB,8,1/25/1994,73,220,Miami,9
Ronnie Hickman Jr.,DB,8,10/11/2001,73,209,Ohio State,3
Tony Brown,DB,8,7/13/1995,72,200,Alabama,6
Adin Huntington,DL,8,3/18/2002,73,281,Tulane; Louisiana-Monroe; Kent State,0
Alex Wright,DL,8,9/5/2000,77,267,UAB,4
Cameron Thomas,DL,8,7/1/2000,76,265,San Diego State,4
Isaiah McGuire,DL,8,7/27/2001,76,268,Missouri,3
Keith Cooper Jr.,DL,8,3/30/2003,77,280,Houston; Tulane,0
Maliek Collins,DL,8,4/8/1995,74,310,Nebraska,10
Mason Graham,DL,8,9/3/2003,76,315,Michigan,0
Maurice Hurst,DL,8,5/9/1995,74,291,Michigan,8
Mike Hall Jr.,DL,8,6/13/2003,75,300,Ohio State,2
Myles Garrett,DL,8,12/29/1995,76,272,Texas A&M,9
Ralph Holley,DL,8,1/22/1999,73,285,Western Michigan,1
Sam Kamara,DL,8,12/21/1997,72,272,Stony Brook,3
Shelby Harris,DL,8,8/11/1991,74,288,Illinois State; Wisconsin,11
Andre Szmyt,K,8,9/26/1998,72,200,Syracuse,1
Dustin Hopkins,K,8,10/1/1990,74,210,Florida State,11
Carson Schwesinger,LB,8,2/24/2003,75,242,UCLA,0
Charlie Thomas,LB,8,1/31/2000,75,216,Georgia Tech,0
Devin Bush,LB,8,7/18/1998,71,234,Michigan,7
Easton Mascarenas-Arnold,LB,8,9/13/2002,71,226,USC; Oregon State,0
Edefuan Ulofoshio,LB,8,1/23/2000,73,239,Washington,2
Elerson Smith,LB,8,7/17/1998,78,255,Northern Iowa,3
Jeremiah Owusu-Koramoah,LB,8,11/4/1999,74,221,Notre Dame,5
Jerome Baker,LB,8,12/25/1996,74,232,Ohio State,8
Joe Tryon-Shoyinka,LB,8,4/30/1999,77,259,Washington,5
Jordan Hicks,LB,8,6/27/1992,73,236,Texas,10
Julian Okwara,LB,8,12/27/1997,76,250,Notre Dame,6
Marvin Moody,LB,8,,,,,
Mohamoud Diabate,LB,8,5/18/2001,76,225,Utah,3
Nathaniel Watson,LB,8,9/1/2000,72,233,Mississippi State,2
Sam Kamara,LB,8,12/21/1997,72,272,Stony Brook,3
Winston Reid,LB,8,8/3/1999,72,225,Weber State,2
Rex Sunahara,LS,8,10/9/1996,78,242,West Virginia,2
Bucky Williams,OL,8,3/20/2000,75,300,Appalachian State; Austin Peay,0
Cornelius Lucas,OL,8,7/18/1991,80,327,Kansas State,11
Dartanyan Tinsley,OL,8,,,,,
Dawand Jones,OL,8,8/6/2001,80,375,Ohio State,3
Ethan Pocic,OL,8,8/5/1995,78,320,LSU,9
Jack Conklin,OL,8,8/17/1994,78,308,Michigan State,10
Jackson Barton,OL,8,8/8/1995,79,302,Utah,5
Jason Ivey,OL,8,,,,,
Javion Cohen,OL,8,8/8/2002,76,322,Miami; Alabama,0
Joel Bitonio,OL,8,10/11/1991,76,320,Nevada,12
